[18:42:19.227] Normal: Scanner On.
[18:43:01.855] Debug: peripheral.discoverDescriptors(for: 18EE2EF5-263D-4559-959F-4F9C429F9D11)
[18:43:01.855] Verbose: Discovering Descriptors for Characteristic 18EE2EF5-263D-4559-959F-4F9C429F9D12...
[18:43:01.855] Debug: peripheral.discoverDescriptors(for: 18EE2EF5-263D-4559-959F-4F9C429F9D12)
[18:43:01.855] Verbose: Discovering Descriptors for Characteristic 64630238-8772-45F2-B87D-748A83218F04...
[18:43:01.855] Debug: peripheral.discoverDescriptors(for: 64630238-8772-45F2-B87D-748A83218F04)
[18:43:01.859] Normal: Discovered 18EE2EF5-263D-4559-959F-4F9C429F9D11, 18EE2EF5-263D-4559-959F-4F9C429F9D12, and 64630238-8772-45F2-B87D-748A83218F04 Characteristics for Service FFF6.
[18:43:01.869] Debug: [Callback] peripheral(peripheral, didDiscoverDescriptorsFor: 18EE2EF5-263D-4559-959F-4F9C429F9D11, error: The specified UUID is not allowed for this operation.)
[18:43:01.869] Error: Descriptor Discovery: The specified UUID is not allowed for this operation.
[18:43:01.872] Debug: [Callback] peripheral(peripheral, didDiscoverDescriptorsFor: 18EE2EF5-263D-4559-959F-4F9C429F9D12, error: The specified UUID is not allowed for this operation.)
[18:43:01.872] Error: Descriptor Discovery: The specified UUID is not allowed for this operation.
[18:43:01.914] Debug: [Callback] peripheral(peripheral, didDiscoverIncludedServicesFor: 00010203-0405-0607-0809-0A0B0C0D1910, error: nil)
[18:43:01.914] Normal: Service Discovery returned nil Services.
[18:43:02.064] Debug: [Callback] peripheral(peripheral, didDiscoverCharacteristicsFor: 00010203-0405-0607-0809-0A0B0C0D1910, error: nil)
[18:43:02.065] Verbose: Discovering Descriptors for Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10...
[18:43:02.065] Debug: peripheral.discoverDescriptors(for: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:43:02.065] Verbose: Discovering Descriptors for Characteristic 00010203-0405-0607-0809-0A0B0C0D2B11...
[18:43:02.065] Debug: peripheral.discoverDescriptors(for: 00010203-0405-0607-0809-0A0B0C0D2B11)
[18:43:02.065] Debug: [Callback] peripheral(peripheral, didDiscoverDescriptorsFor: 64630238-8772-45F2-B87D-748A83218F04, error: nil)
[18:43:02.069] Normal: Discovered 00010203-0405-0607-0809-0A0B0C0D2B10 and 00010203-0405-0607-0809-0A0B0C0D2B11 Characteristics for Service 00010203-0405-0607-0809-0A0B0C0D1910.
[18:43:02.069] Normal: 64630238-8772-45F2-B87D-748A83218F04 has no Descriptors.
[18:43:02.123] Debug: [Callback] peripheral(peripheral, didDiscoverDescriptorsFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:43:02.125] Normal: Discovered Client Characteristic Configuration Descriptors for Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:02.212] Debug: [Callback] peripheral(peripheral, didDiscoverDescriptorsFor: 00010203-0405-0607-0809-0A0B0C0D2B11, error: nil)
[18:43:02.213] Normal: 00010203-0405-0607-0809-0A0B0C0D2B11 has no Descriptors.
[18:43:35.135] Verbose: Writing '01' to Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:35.135] Debug: peripheral.setNotifyValue(01, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:43:35.135] Application: Setting Boolean true for Notifying Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:35.182] Debug: [Callback] peripheral(peripheral, didUpdateNotificationStateFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:43:36.023] Verbose: Writing '00' to Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:36.023] Debug: peripheral.setNotifyValue(00, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:43:36.023] Application: Setting Boolean false for Notifying Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:36.083] Debug: [Callback] peripheral(peripheral, didUpdateNotificationStateFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:43:36.607] Verbose: Reading Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10...
[18:43:36.607] Debug: peripheral.readValue(forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:43:36.656] Debug: [Callback] peripheral(peripheral, didUpdateValueForCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10, error: Reading is not permitted.)
[18:43:36.657] Error: Error Reading Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10 00010203-0405-0607-0809-0A0B0C0D2B10: Reading is not permitted.
[18:43:39.056] Verbose: Writing '01' to Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:39.056] Debug: peripheral.setNotifyValue(01, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:43:39.056] Application: Setting Boolean true for Notifying Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:43:39.114] Debug: [Callback] peripheral(peripheral, didUpdateNotificationStateFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:44:00.520] Verbose: Writing 3301 0000 0000 0000 0000 0000 0000 0000 0000 0032 to Descriptor 2902
[18:44:00.520] Debug: peripheral.setNotifyValue(3301 0000 0000 0000 0000 0000 0000 0000 0000 0032, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:44:00.520] Application: Writing Boolean 'false' to Client Characteristic Configuration Descriptor
[18:44:00.564] Debug: [Callback] peripheral(peripheral, didUpdateNotificationStateFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:44:00.564] Normal: Notifying State of 00010203-0405-0607-0809-0A0B0C0D2B10 Changed to: false
[18:44:08.857] Verbose: Writing '01' to Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:44:08.857] Debug: peripheral.setNotifyValue(01, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B10)
[18:44:08.857] Application: Setting Boolean true for Notifying Characteristic 00010203-0405-0607-0809-0A0B0C0D2B10
[18:44:08.903] Debug: [Callback] peripheral(peripheral, didUpdateNotificationStateFor: 00010203-0405-0607-0809-0A0B0C0D2B10, error: nil)
[18:44:11.506] Verbose: Writing '3301 0000 0000 0000 0000 0000 0000 0000 0000 0032' to Characteristic 00010203-0405-0607-0809-0A0B0C0D2B11
[18:44:11.506] Debug: peripheral.writeValue(3301 0000 0000 0000 0000 0000 0000 0000 0000 0032, forCharacteristic: 00010203-0405-0607-0809-0A0B0C0D2B11)
[18:44:11.507] Application: Writing value '3301 0000 0000 0000 0000 0000 0000 0000 0000 0032' to 00010203-0405-0607-0809-0A0B0C0D2B11 Characteristic
[18:44:19.238] Normal: Scanner Off.
